"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","cluster","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","label","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","score<Avg. citations>","score<Avg. norm. citations>","score<Avg. pub. year>","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","weight<Links>","weight<Occurrences>","weight<Total link strength>","x","y"
"1.975438596491228","2.7665030618145034E-4","0.5062166962699822","2","0.35789473684210527","20","3","false","fusion","5490","62.8","0","20","0","0.9964400051222947","7.4","8.4795","2022.9","false","0","5490","244","0.23088235294117648","20","10","22","-0.5189","-0.5496"
"2.2140350877192985","1.0643573310758269E-4","0.4516640253565768","2","0.21428571428571427","8","3","false","contrastive learning","2867","50.875","0","8","0","0.9955692150083237","0.0667","0.1431","2022.8667","false","0","2867","70","0.23604651162790696","8","15","8","-0.5612","-0.7156"
"1.975438596491228","1.172078643646656E-4","0.5062166962699822","5","0.5047619047619047","15","3","false","empirical study","4589","78.86666666666666","0","15","0","0.9964400051222947","0.6364","0.7292","2022.8182","false","0","4589","104","0.28471720818291213","15","11","18","0.5892","-0.4481"
"1.9684210526315788","5.5661145792427726E-5","0.5080213903743316","6","0.5909090909090909","12","3","false","random forest","11168","92.08333333333333","0","12","0","0.9964656165962351","0.1818","0.1723","2022.6364","false","0","11168","60","0.3265366430260047","12","11","16","0.6484","-0.6042"
"1.7824561403508772","0.002654277618608648","0.5610236220472441","2","0.39632936507936506","64","3","false","training","13957","67.609375","0","64","0","0.9971443206556538","2.3667","2.2626","2022.9","false","0","13957","2530","0.2389023851590106","64","30","133","0.4373","-0.6349"
"1.856140350877193","7.831108941555143E-4","0.5387523629489603","1","0.462253193960511","42","3","false","systematic literature review","13437","79.73809523809524","0","42","0","0.9968754001792803","1.3077","1.4985","2023.0","false","0","13437","938","0.2807679409792086","42","13","53","0.1003","0.3243"
"1.9228070175438596","3.13027350636834E-4","0.5200729927007299","3","0.5362318840579711","24","3","false","stroke","13140","87.75","0","24","0","0.9966320911768473","0.1429","0.1637","2022.8571","false","0","13140","264","0.31007067137809186","24","14","35","-0.7027","0.7751"
"1.919298245614035","2.486642069574931E-4","0.5210237659963437","5","0.5289855072463768","24","3","false","stability","12996","86.70833333333333","0","24","0","0.9966448969138174","0.7222","0.8276","2022.9444","false","0","12996","274","0.30531103286384975","24","18","33","0.2352","0.0723"
"1.919298245614035","2.840847681883669E-4","0.5210237659963437","5","0.5507246376811594","24","3","false","software development","12694","100.45833333333333","0","24","0","0.9966448969138174","0.3333","0.382","2022.9167","false","0","12694","304","0.35372652582159625","24","12","25","0.3588","-0.4948"
"1.9508771929824562","1.7094953688332132E-4","0.512589928057554","5","0.5916666666666667","16","3","false","software defect prediction","12675","101.625","0","16","0","0.996529645281086","0.5","0.6729","2023.0","false","0","12675","182","0.3590989399293286","16","10","24","0.3954","-0.2835"
"1.9403508771929825","2.626317923719455E-4","0.515370705244123","3","0.48095238095238096","21","3","false","society","12623","77.33333333333333","0","21","0","0.9965680624919964","0.9","1.0313","2022.9","false","0","12623","224","0.2752075919335706","21","10","26","-0.8848","0.6426"
"1.919298245614035","7.684407193616393E-4","0.5210237659963437","2","0.4311594202898551","24","3","false","sentiment analysis","12177","84.91666666666667","0","24","0","0.9966448969138174","1.4667","1.522","2022.6667","false","0","12177","1170","0.2990023474178404","24","15","32","-0.4476","-0.4277"
"1.9473684210526316","5.546321997695471E-5","0.5135135135135135","2","0.7416666666666667","16","3","false","semantic segmentation","12126","88.625","0","16","0","0.9965424510180559","2.9","3.3231","2022.9","false","0","12126","62","0.31205985915492956","16","10","24","-0.82","-0.8132"
"1.9578947368421054","2.0869754304828945E-5","0.510752688172043","3","0.8333333333333334","13","3","false","sars-cov-2","11877","128.92307692307693","0","13","0","0.9965040338071457","0.1818","0.2083","2022.9091","false","0","11877","26","0.4539544962080173","13","11","29","-1.2918","0.4217"
"1.9263157894736842","2.9204493210741055E-4","0.5191256830601093","2","0.541501976284585","23","3","false","robustness","11760","84.8695652173913","0","23","0","0.9966192854398771","0.1818","0.2083","2022.8182","false","0","11760","232","0.29989245659855585","23","11","26","0.3324","-0.3522"
"1.9508771929824562","1.6756235668517286E-4","0.512589928057554","3","0.5220588235294118","17","3","false","progression","10804","88.47058823529412","0","17","0","0.996529645281086","0.7","0.6435","2022.9","false","0","10804","154","0.3137254901960784","17","10","19","-0.7754","0.064"
"1.8982456140350876","5.906640448075318E-4","0.5268022181146026","2","0.42758620689655175","30","3","false","patterns","10077","76.03333333333333","0","30","0","0.9967217313356384","0.3636","0.2725","2022.9091","false","0","10077","606","0.2677230046948357","30","11","34","-0.6042","-0.0557"
"1.9228070175438596","2.7292713012980695E-4","0.5200729927007299","2","0.5362318840579711","24","3","false","ontology","9667","90.70833333333333","0","24","0","0.9966320911768473","0.0","0.0","2022.8","false","0","9667","264","0.3205241460541814","24","15","34","-0.4536","0.015"
"1.894736842105263","5.026805957998778E-4","0.5277777777777778","6","0.5100806451612904","32","3","false","monitoring","8764","87.59375","0","32","0","0.9967345370726085","2.2308","2.4952","2022.8462","false","0","8764","508","0.3095185512367491","32","13","40","0.2064","-0.5705"
"1.96140350877193","1.342285120811852E-4","0.5098389982110912","6","0.4","15","3","false","memory","8351","79.2","0","15","0","0.9964912280701754","1.5833","1.6822","2022.75","false","0","8351","126","0.2818505338078292","15","12","17","-0.0827","-0.2156"
