"clust","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"1","7.851345143093691","interacts with","1087 (interacts with) 7136","false","interacts with","1087 (interacts with) 7136"
"1","8.896958935911268","interacts with","1087 (interacts with) 7824","false","interacts with","1087 (interacts with) 7824"
"2","34.77678435358501","interacts with","1087 (interacts with) 8069","false","interacts with","1087 (interacts with) 8069"
"1","50.757598189564284","interacts with","1087 (interacts with) 8658","false","interacts with","1087 (interacts with) 8658"
"1","20.934490053956008","interacts with","1087 (interacts with) 9290","false","interacts with","1087 (interacts with) 9290"
"2","11.984350832494732","interacts with","1087 (interacts with) 10675","false","interacts with","1087 (interacts with) 10675"
"1","15.642886251748475","interacts with","1087 (interacts with) 11440","false","interacts with","1087 (interacts with) 11440"
"3","10.641722473146617","interacts with","1087 (interacts with) 11932","false","interacts with","1087 (interacts with) 11932"
"1","11.563114663114664","interacts with","1087 (interacts with) 11998","false","interacts with","1087 (interacts with) 11998"
"9","19.0243359839335","interacts with","1087 (interacts with) 12027","false","interacts with","1087 (interacts with) 12027"
"1","14.636738339060317","interacts with","1087 (interacts with) 12173","false","interacts with","1087 (interacts with) 12173"
"2","7.802496067743741","interacts with","1087 (interacts with) 12209","false","interacts with","1087 (interacts with) 12209"
"1","16.159309386863562","interacts with","1087 (interacts with) 13568","false","interacts with","1087 (interacts with) 13568"
"1","15.753693330599512","interacts with","1087 (interacts with) 13957","false","interacts with","1087 (interacts with) 13957"
"1","9.780799490837412","interacts with","1205 (interacts with) 1437","false","interacts with","1205 (interacts with) 1437"
"1","12.70785174015784","interacts with","1205 (interacts with) 1460","false","interacts with","1205 (interacts with) 1460"
"1","13.108342583025273","interacts with","1205 (interacts with) 1593","false","interacts with","1205 (interacts with) 1593"
"1","14.791652749216698","interacts with","1205 (interacts with) 2010","false","interacts with","1205 (interacts with) 2010"
"1","26.02490381406406","interacts with","1205 (interacts with) 2164","false","interacts with","1205 (interacts with) 2164"
"2","12.871340442078804","interacts with","1205 (interacts with) 2368","false","interacts with","1205 (interacts with) 2368"
"1","10.699364443267402","interacts with","1205 (interacts with) 2495","false","interacts with","1205 (interacts with) 2495"
"1","14.754666778365927","interacts with","1205 (interacts with) 2623","false","interacts with","1205 (interacts with) 2623"
"3","33.84787285719031","interacts with","1205 (interacts with) 3500","false","interacts with","1205 (interacts with) 3500"
"1","12.019878298075549","interacts with","1205 (interacts with) 3709","false","interacts with","1205 (interacts with) 3709"
"1","11.687107045568528","interacts with","1205 (interacts with) 3924","false","interacts with","1205 (interacts with) 3924"
"1","10.978015530275469","interacts with","1205 (interacts with) 4633","false","interacts with","1205 (interacts with) 4633"
"1","8.34514665268255","interacts with","1205 (interacts with) 4804","false","interacts with","1205 (interacts with) 4804"
"1","8.952084371634108","interacts with","1205 (interacts with) 4907","false","interacts with","1205 (interacts with) 4907"
"1","11.491229639323333","interacts with","1205 (interacts with) 5117","false","interacts with","1205 (interacts with) 5117"
"1","21.80803359578703","interacts with","1205 (interacts with) 5419","false","interacts with","1205 (interacts with) 5419"
"2","10.181562049518158","interacts with","1205 (interacts with) 5496","false","interacts with","1205 (interacts with) 5496"
"2","10.036036670406265","interacts with","1205 (interacts with) 6014","false","interacts with","1205 (interacts with) 6014"
"1","9.673164607598915","interacts with","1205 (interacts with) 6066","false","interacts with","1205 (interacts with) 6066"
"1","9.544917475325951","interacts with","1205 (interacts with) 6106","false","interacts with","1205 (interacts with) 6106"
"1","12.663080326799752","interacts with","1205 (interacts with) 6655","false","interacts with","1205 (interacts with) 6655"
"1","13.729670232695524","interacts with","1205 (interacts with) 6837","false","interacts with","1205 (interacts with) 6837"
"1","14.986270153993827","interacts with","1205 (interacts with) 7135","false","interacts with","1205 (interacts with) 7135"
"1","10.398156089765884","interacts with","1205 (interacts with) 7422","false","interacts with","1205 (interacts with) 7422"
"1","10.37747124737676","interacts with","1205 (interacts with) 7975","false","interacts with","1205 (interacts with) 7975"
"3","41.36469133378959","interacts with","1205 (interacts with) 7980","false","interacts with","1205 (interacts with) 7980"
"1","8.804273763054447","interacts with","1205 (interacts with) 8272","false","interacts with","1205 (interacts with) 8272"
"2","26.481874708320394","interacts with","1205 (interacts with) 8658","false","interacts with","1205 (interacts with) 8658"
"1","14.139805128091261","interacts with","1205 (interacts with) 9322","false","interacts with","1205 (interacts with) 9322"
"1","15.098738233741042","interacts with","1205 (interacts with) 9550","false","interacts with","1205 (interacts with) 9550"
"2","14.455157325812552","interacts with","1205 (interacts with) 10144","false","interacts with","1205 (interacts with) 10144"
"1","10.259862695109051","interacts with","1205 (interacts with) 10987","false","interacts with","1205 (interacts with) 10987"
"1","13.575621506265383","interacts with","1205 (interacts with) 11300","false","interacts with","1205 (interacts with) 11300"
"1","11.903391160490408","interacts with","1205 (interacts with) 11562","false","interacts with","1205 (interacts with) 11562"
"2","9.51972417732479","interacts with","1205 (interacts with) 11750","false","interacts with","1205 (interacts with) 11750"
"2","9.348103519280123","interacts with","1205 (interacts with) 11941","false","interacts with","1205 (interacts with) 11941"
"1","11.498782984367496","interacts with","1205 (interacts with) 11982","false","interacts with","1205 (interacts with) 11982"
"3","17.974338392525258","interacts with","1205 (interacts with) 12643","false","interacts with","1205 (interacts with) 12643"
"2","10.962602327404149","interacts with","1205 (interacts with) 12707","false","interacts with","1205 (interacts with) 12707"
"1","8.658088060453387","interacts with","1205 (interacts with) 13029","false","interacts with","1205 (interacts with) 13029"
"1","21.46020544870997","interacts with","1205 (interacts with) 13411","false","interacts with","1205 (interacts with) 13411"
"2","15.439902904459732","interacts with","1205 (interacts with) 13448","false","interacts with","1205 (interacts with) 13448"
"1","16.10431652010858","interacts with","1205 (interacts with) 13508","false","interacts with","1205 (interacts with) 13508"
"1","10.767793154557852","interacts with","1205 (interacts with) 14081","false","interacts with","1205 (interacts with) 14081"
"3","7.652116695169839","interacts with","1224 (interacts with) 1250","false","interacts with","1224 (interacts with) 1250"
"1","27.145073983847162","interacts with","1224 (interacts with) 2010","false","interacts with","1224 (interacts with) 2010"
"1","41.69251283396959","interacts with","1224 (interacts with) 2867","false","interacts with","1224 (interacts with) 2867"
"1","12.62512662743173","interacts with","1224 (interacts with) 3462","false","interacts with","1224 (interacts with) 3462"
"1","64.5204539233788","interacts with","1224 (interacts with) 3500","false","interacts with","1224 (interacts with) 3500"
"1","11.826715103514365","interacts with","1224 (interacts with) 3593","false","interacts with","1224 (interacts with) 3593"
"1","18.323257755995307","interacts with","1224 (interacts with) 4357","false","interacts with","1224 (interacts with) 4357"
"1","36.22608608405879","interacts with","1224 (interacts with) 5419","false","interacts with","1224 (interacts with) 5419"
"1","25.520965062418057","interacts with","1224 (interacts with) 6655","false","interacts with","1224 (interacts with) 6655"
"1","12.993921558955194","interacts with","1224 (interacts with) 7006","false","interacts with","1224 (interacts with) 7006"
"1","24.09425303669916","interacts with","1224 (interacts with) 7128","false","interacts with","1224 (interacts with) 7128"
"2","31.235957249107535","interacts with","1224 (interacts with) 8069","false","interacts with","1224 (interacts with) 8069"
"1","46.52613396319842","interacts with","1224 (interacts with) 8658","false","interacts with","1224 (interacts with) 8658"
"1","13.503868021365221","interacts with","1224 (interacts with) 9195","false","interacts with","1224 (interacts with) 9195"
"1","18.770095770965547","interacts with","1224 (interacts with) 9290","false","interacts with","1224 (interacts with) 9290"
"1","17.03541706264474","interacts with","1224 (interacts with) 9304","false","interacts with","1224 (interacts with) 9304"
"2","19.0902722325609","interacts with","1224 (interacts with) 9311","false","interacts with","1224 (interacts with) 9311"
"1","16.576332591122636","interacts with","1224 (interacts with) 9550","false","interacts with","1224 (interacts with) 9550"
"1","20.51083353650489","interacts with","1224 (interacts with) 11300","false","interacts with","1224 (interacts with) 11300"
"1","14.834670124244747","interacts with","1224 (interacts with) 11421","false","interacts with","1224 (interacts with) 11421"
"2","13.576362772579117","interacts with","1224 (interacts with) 11838","false","interacts with","1224 (interacts with) 11838"
"1","11.726426258840322","interacts with","1224 (interacts with) 12209","false","interacts with","1224 (interacts with) 12209"
"1","12.971950062349881","interacts with","1224 (interacts with) 12996","false","interacts with","1224 (interacts with) 12996"
"2","10.493303685517477","interacts with","1224 (interacts with) 13116","false","interacts with","1224 (interacts with) 13116"
"1","13.861672051737138","interacts with","1224 (interacts with) 13326","false","interacts with","1224 (interacts with) 13326"
"1","15.388553550413926","interacts with","1224 (interacts with) 13441","false","interacts with","1224 (interacts with) 13441"
"1","21.168350707297435","interacts with","1224 (interacts with) 13508","false","interacts with","1224 (interacts with) 13508"
"1","13.516903147139033","interacts with","1224 (interacts with) 13752","false","interacts with","1224 (interacts with) 13752"
"1","10.141445495473196","interacts with","1224 (interacts with) 13809","false","interacts with","1224 (interacts with) 13809"
"1","11.040862843853274","interacts with","1224 (interacts with) 14055","false","interacts with","1224 (interacts with) 14055"
"1","16.169405408459102","interacts with","1250 (interacts with) 1593","false","interacts with","1250 (interacts with) 1593"
"1","23.35025908666242","interacts with","1250 (interacts with) 2010","false","interacts with","1250 (interacts with) 2010"
"1","16.99692808669521","interacts with","1250 (interacts with) 2653","false","interacts with","1250 (interacts with) 2653"
"2","10.08262686446829","interacts with","1250 (interacts with) 3462","false","interacts with","1250 (interacts with) 3462"
"1","54.656045211835654","interacts with","1250 (interacts with) 3500","false","interacts with","1250 (interacts with) 3500"
"1","14.673391165526713","interacts with","1250 (interacts with) 3535","false","interacts with","1250 (interacts with) 3535"
"1","12.201292965346667","interacts with","1250 (interacts with) 4804","false","interacts with","1250 (interacts with) 4804"
"1","10.612021130051188","interacts with","1250 (interacts with) 6014","false","interacts with","1250 (interacts with) 6014"
"1","11.161047930049994","interacts with","1250 (interacts with) 7006","false","interacts with","1250 (interacts with) 7006"
"1","67.0315872792691","interacts with","1250 (interacts with) 7980","false","interacts with","1250 (interacts with) 7980"
"2","28.37522799689449","interacts with","1250 (interacts with) 8069","false","interacts with","1250 (interacts with) 8069"
"1","40.330354314625474","interacts with","1250 (interacts with) 8658","false","interacts with","1250 (interacts with) 8658"
"1","14.067993785129326","interacts with","1250 (interacts with) 9550","false","interacts with","1250 (interacts with) 9550"
"1","12.869435528656476","interacts with","1250 (interacts with) 10675","false","interacts with","1250 (interacts with) 10675"
"1","18.985058759839244","interacts with","1250 (interacts with) 11300","false","interacts with","1250 (interacts with) 11300"
"1","13.820312382654105","interacts with","1250 (interacts with) 11421","false","interacts with","1250 (interacts with) 11421"
"1","18.960544634947315","interacts with","1250 (interacts with) 11683","false","interacts with","1250 (interacts with) 11683"
"1","10.7292811252402","interacts with","1250 (interacts with) 11838","false","interacts with","1250 (interacts with) 11838"
"1","20.651732551828356","interacts with","1250 (interacts with) 12027","false","interacts with","1250 (interacts with) 12027"
"1","13.223488309095613","interacts with","1250 (interacts with) 12707","false","interacts with","1250 (interacts with) 12707"
"1","11.4911826447733","interacts with","1250 (interacts with) 12996","false","interacts with","1250 (interacts with) 12996"
"1","10.2139326415945","interacts with","1250 (interacts with) 13116","false","interacts with","1250 (interacts with) 13116"
"1","11.500627367328127","interacts with","1250 (interacts with) 13326","false","interacts with","1250 (interacts with) 13326"
"1","12.956798719893339","interacts with","1250 (interacts with) 13441","false","interacts with","1250 (interacts with) 13441"
"1","24.30036649301715","interacts with","1250 (interacts with) 13448","false","interacts with","1250 (interacts with) 13448"
"1","19.013904857201396","interacts with","1250 (interacts with) 13508","false","interacts with","1250 (interacts with) 13508"
"1","10.444413958685054","interacts with","1250 (interacts with) 14055","false","interacts with","1250 (interacts with) 14055"
"1","9.31363066458974","interacts with","1372 (interacts with) 4262","false","interacts with","1372 (interacts with) 4262"
"1","10.352283690562864","interacts with","1372 (interacts with) 4718","false","interacts with","1372 (interacts with) 4718"
"1","12.453033418447713","interacts with","1372 (interacts with) 5574","false","interacts with","1372 (interacts with) 5574"
"1","12.300812972394978","interacts with","1372 (interacts with) 5669","false","interacts with","1372 (interacts with) 5669"
"1","12.232697436322605","interacts with","1372 (interacts with) 5771","false","interacts with","1372 (interacts with) 5771"
"3","22.73886501915846","interacts with","1372 (interacts with) 6655","false","interacts with","1372 (interacts with) 6655"
"2","75.79021499068588","interacts with","1372 (interacts with) 7980","false","interacts with","1372 (interacts with) 7980"
"1","8.864248991910857","interacts with","1372 (interacts with) 8443","false","interacts with","1372 (interacts with) 8443"
"7","43.739248055454816","interacts with","1372 (interacts with) 8658","false","interacts with","1372 (interacts with) 8658"
"1","21.498991668707152","interacts with","1372 (interacts with) 9322","false","interacts with","1372 (interacts with) 9322"
"4","28.60085615323937","interacts with","1372 (interacts with) 9778","false","interacts with","1372 (interacts with) 9778"
"4","25.314790808954935","interacts with","1372 (interacts with) 10144","false","interacts with","1372 (interacts with) 10144"
"1","12.269702408636038","interacts with","1372 (interacts with) 10966","false","interacts with","1372 (interacts with) 10966"
"1","20.102804121158584","interacts with","1372 (interacts with) 11300","false","interacts with","1372 (interacts with) 11300"
"1","9.29110927485684","interacts with","1372 (interacts with) 11750","false","interacts with","1372 (interacts with) 11750"
"1","8.737262992014639","interacts with","1372 (interacts with) 11890","false","interacts with","1372 (interacts with) 11890"
"1","14.52468483627791","interacts with","1372 (interacts with) 12173","false","interacts with","1372 (interacts with) 12173"
"1","14.813984884189054","interacts with","1372 (interacts with) 12371","false","interacts with","1372 (interacts with) 12371"
"1","32.82273689022048","interacts with","1372 (interacts with) 12643","false","interacts with","1372 (interacts with) 12643"
"1","36.48444280443714","interacts with","1372 (interacts with) 13411","false","interacts with","1372 (interacts with) 13411"
"2","26.568930214629862","interacts with","1372 (interacts with) 13448","false","interacts with","1372 (interacts with) 13448"
"1","18.69781944360515","interacts with","1372 (interacts with) 13957","false","interacts with","1372 (interacts with) 13957"
"1","29.58136471371763","interacts with","1433 (interacts with) 1460","false","interacts with","1433 (interacts with) 1460"
"1","11.181349524228773","interacts with","1433 (interacts with) 4804","false","interacts with","1433 (interacts with) 4804"
"1","6.694858628412089","interacts with","1433 (interacts with) 4907","false","interacts with","1433 (interacts with) 4907"
"2","6.7575279572284535","interacts with","1433 (interacts with) 5027","false","interacts with","1433 (interacts with) 5027"
"1","13.709021001358455","interacts with","1433 (interacts with) 6066","false","interacts with","1433 (interacts with) 6066"
"1","15.682764251572292","interacts with","1433 (interacts with) 7422","false","interacts with","1433 (interacts with) 7422"
"1","16.67081970317264","interacts with","1433 (interacts with) 7975","false","interacts with","1433 (interacts with) 7975"
"4","99.34240367475668","interacts with","1433 (interacts with) 7980","false","interacts with","1433 (interacts with) 7980"
"1","10.143774428758945","interacts with","1433 (interacts with) 8272","false","interacts with","1433 (interacts with) 8272"
"1","26.08037738870156","interacts with","1433 (interacts with) 8707","false","interacts with","1433 (interacts with) 8707"
"1","28.628885613870114","interacts with","1433 (interacts with) 9325","false","interacts with","1433 (interacts with) 9325"
"1","14.98695334430628","interacts with","1433 (interacts with) 10675","false","interacts with","1433 (interacts with) 10675"
"1","21.513998540159527","interacts with","1433 (interacts with) 11440","false","interacts with","1433 (interacts with) 11440"
"1","9.639560439560437","interacts with","1433 (interacts with) 11760","false","interacts with","1433 (interacts with) 11760"
"1","15.261086282467843","interacts with","1433 (interacts with) 12177","false","interacts with","1433 (interacts with) 12177"
"1","34.05577711313005","interacts with","1433 (interacts with) 13448","false","interacts with","1433 (interacts with) 13448"
"1","23.430434212085874","interacts with","1433 (interacts with) 13569","false","interacts with","1433 (interacts with) 13569"
"1","10.18639856875151","interacts with","1433 (interacts with) 14081","false","interacts with","1433 (interacts with) 14081"
"1","12.524667971902167","interacts with","1437 (interacts with) 1441","false","interacts with","1437 (interacts with) 1441"
"3","10.213448642406053","interacts with","1437 (interacts with) 1460","false","interacts with","1437 (interacts with) 1460"
"3","10.237143004221759","interacts with","1437 (interacts with) 1593","false","interacts with","1437 (interacts with) 1593"
"1","10.723978316580416","interacts with","1437 (interacts with) 1887","false","interacts with","1437 (interacts with) 1887"
"4","11.026587316354444","interacts with","1437 (interacts with) 2138","false","interacts with","1437 (interacts with) 2138"
"3","24.93465309217192","interacts with","1437 (interacts with) 2164","false","interacts with","1437 (interacts with) 2164"
"1","11.116072116017289","interacts with","1437 (interacts with) 2252","false","interacts with","1437 (interacts with) 2252"
"1","9.091278522490542","interacts with","1437 (interacts with) 2495","false","interacts with","1437 (interacts with) 2495"
"1","8.997015265036136","interacts with","1437 (interacts with) 3363","false","interacts with","1437 (interacts with) 3363"
"5","29.723449265408796","interacts with","1437 (interacts with) 3500","false","interacts with","1437 (interacts with) 3500"
"2","15.470396368195553","interacts with","1437 (interacts with) 3681","false","interacts with","1437 (interacts with) 3681"
"1","12.822599285582509","interacts with","1437 (interacts with) 3709","false","interacts with","1437 (interacts with) 3709"
"3","17.463407055041817","interacts with","1437 (interacts with) 3762","false","interacts with","1437 (interacts with) 3762"
"1","8.786262483715214","interacts with","1437 (interacts with) 4633","false","interacts with","1437 (interacts with) 4633"
"4","6.275528774123989","interacts with","1437 (interacts with) 4846","false","interacts with","1437 (interacts with) 4846"
"1","18.351195052869034","interacts with","1437 (interacts with) 5419","false","interacts with","1437 (interacts with) 5419"
"2","8.176731793555902","interacts with","1437 (interacts with) 5496","false","interacts with","1437 (interacts with) 5496"
"1","12.698054037519446","interacts with","1437 (interacts with) 5523","false","interacts with","1437 (interacts with) 5523"
"1","10.422604988999513","interacts with","1437 (interacts with) 6066","false","interacts with","1437 (interacts with) 6066"
"1","11.309350904102548","interacts with","1437 (interacts with) 6100","false","interacts with","1437 (interacts with) 6100"
"1","15.5361673090052","interacts with","1437 (interacts with) 6540","false","interacts with","1437 (interacts with) 6540"
"1","11.731675437991399","interacts with","1437 (interacts with) 6655","false","interacts with","1437 (interacts with) 6655"
"2","8.075045484680503","interacts with","1437 (interacts with) 6806","false","interacts with","1437 (interacts with) 6806"
"1","14.043589469717833","interacts with","1437 (interacts with) 6837","false","interacts with","1437 (interacts with) 6837"
"2","8.74747227475675","interacts with","1437 (interacts with) 6919","false","interacts with","1437 (interacts with) 6919"
"2","7.668445885188856","interacts with","1437 (interacts with) 6995","false","interacts with","1437 (interacts with) 6995"
"2","10.602158633367267","interacts with","1437 (interacts with) 7128","false","interacts with","1437 (interacts with) 7128"
"2","11.60984628528581","interacts with","1437 (interacts with) 7135","false","interacts with","1437 (interacts with) 7135"
"1","9.601406546262357","interacts with","1437 (interacts with) 7233","false","interacts with","1437 (interacts with) 7233"
"2","8.457747630628376","interacts with","1437 (interacts with) 7422","false","interacts with","1437 (interacts with) 7422"
"4","37.083930894078655","interacts with","1437 (interacts with) 7980","false","interacts with","1437 (interacts with) 7980"
"5","13.78385296637913","interacts with","1437 (interacts with) 8069","false","interacts with","1437 (interacts with) 8069"
"3","21.79853149845173","interacts with","1437 (interacts with) 8658","false","interacts with","1437 (interacts with) 8658"
"1","15.389853615569802","interacts with","1437 (interacts with) 9233","false","interacts with","1437 (interacts with) 9233"
"1","11.297196496753333","interacts with","1437 (interacts with) 9311","false","interacts with","1437 (interacts with) 9311"
"1","11.028783930208077","interacts with","1437 (interacts with) 9412","false","interacts with","1437 (interacts with) 9412"
"1","13.237990976339082","interacts with","1437 (interacts with) 10144","false","interacts with","1437 (interacts with) 10144"
"2","15.324808372744355","interacts with","1437 (interacts with) 10591","false","interacts with","1437 (interacts with) 10591"
"1","12.964624320251984","interacts with","1437 (interacts with) 10648","false","interacts with","1437 (interacts with) 10648"
"1","10.256358359330523","interacts with","1437 (interacts with) 10987","false","interacts with","1437 (interacts with) 10987"
"1","18.907234351949853","interacts with","1437 (interacts with) 11019","false","interacts with","1437 (interacts with) 11019"
"1","12.567281716362963","interacts with","1437 (interacts with) 11683","false","interacts with","1437 (interacts with) 11683"
"1","10.029175018507363","interacts with","1437 (interacts with) 11748","false","interacts with","1437 (interacts with) 11748"
"1","9.510246997796115","interacts with","1437 (interacts with) 11941","false","interacts with","1437 (interacts with) 11941"
"1","14.248516343793769","interacts with","1437 (interacts with) 12027","false","interacts with","1437 (interacts with) 12027"
"1","11.451874501811233","interacts with","1437 (interacts with) 12167","false","interacts with","1437 (interacts with) 12167"
"1","10.61888049007032","interacts with","1437 (interacts with) 12371","false","interacts with","1437 (interacts with) 12371"
"1","15.93018248870173","interacts with","1437 (interacts with) 12643","false","interacts with","1437 (interacts with) 12643"
"1","12.42633398294321","interacts with","1437 (interacts with) 13116","false","interacts with","1437 (interacts with) 13116"
"1","10.354114589044285","interacts with","1437 (interacts with) 13326","false","interacts with","1437 (interacts with) 13326"
"1","11.48770031645658","interacts with","1437 (interacts with) 13437","false","interacts with","1437 (interacts with) 13437"
"1","10.268004748556699","interacts with","1437 (interacts with) 13441","false","interacts with","1437 (interacts with) 13441"
"1","13.834632982135277","interacts with","1437 (interacts with) 13448","false","interacts with","1437 (interacts with) 13448"
"2","8.424249198866086","interacts with","1437 (interacts with) 13568","false","interacts with","1437 (interacts with) 13568"
"1","8.597630329702405","interacts with","1437 (interacts with) 13752","false","interacts with","1437 (interacts with) 13752"
"1","11.696014649713666","interacts with","1437 (interacts with) 13865","false","interacts with","1437 (interacts with) 13865"
"1","24.683317921883393","interacts with","1441 (interacts with) 1460","false","interacts with","1441 (interacts with) 1460"
"1","11.25366585872064","interacts with","1441 (interacts with) 2092","false","interacts with","1441 (interacts with) 2092"
"1","9.400788406342544","interacts with","1441 (interacts with) 2138","false","interacts with","1441 (interacts with) 2138"
"1","14.480040019592082","interacts with","1441 (interacts with) 2495","false","interacts with","1441 (interacts with) 2495"
"1","32.992158355028195","interacts with","1441 (interacts with) 3681","false","interacts with","1441 (interacts with) 3681"
"1","11.961670629629241","interacts with","1441 (interacts with) 4633","false","interacts with","1441 (interacts with) 4633"
"1","27.162288743792242","interacts with","1441 (interacts with) 7128","false","interacts with","1441 (interacts with) 7128"
"1","24.801501861421627","interacts with","1441 (interacts with) 7135","false","interacts with","1441 (interacts with) 7135"
"2","86.11641440481677","interacts with","1441 (interacts with) 7980","false","interacts with","1441 (interacts with) 7980"
"2","35.555866784575585","interacts with","1441 (interacts with) 8069","false","interacts with","1441 (interacts with) 8069"
"1","12.211188300565965","interacts with","1441 (interacts with) 8272","false","interacts with","1441 (interacts with) 8272"
"1","13.812679554737771","interacts with","1441 (interacts with) 8332","false","interacts with","1441 (interacts with) 8332"
"2","36.63899213700135","interacts with","1441 (interacts with) 9778","false","interacts with","1441 (interacts with) 9778"
"2","9.688852194406332","interacts with","1441 (interacts with) 11941","false","interacts with","1441 (interacts with) 11941"
"1","11.093438961551396","interacts with","1441 (interacts with) 11998","false","interacts with","1441 (interacts with) 11998"
"1","36.96860390303","interacts with","1441 (interacts with) 12643","false","interacts with","1441 (interacts with) 12643"
"1","10.896768979780301","interacts with","1441 (interacts with) 12771","false","interacts with","1441 (interacts with) 12771"
"1","16.216353705905764","interacts with","1441 (interacts with) 13568","false","interacts with","1441 (interacts with) 13568"
"1","11.133601577584018","interacts with","1441 (interacts with) 13718","false","interacts with","1441 (interacts with) 13718"
"2","10.84911324071522","interacts with","1441 (interacts with) 14055","false","interacts with","1441 (interacts with) 14055"
"6","10.881858333807875","interacts with","1460 (interacts with) 1593","false","interacts with","1460 (interacts with) 1593"
"2","15.678752506362576","interacts with","1460 (interacts with) 1807","false","interacts with","1460 (interacts with) 1807"
"1","17.35194905889952","interacts with","1460 (interacts with) 1887","false","interacts with","1460 (interacts with) 1887"
"4","11.766292558567239","interacts with","1460 (interacts with) 2010","false","interacts with","1460 (interacts with) 2010"
"3","16.376442437841234","interacts with","1460 (interacts with) 2252","false","interacts with","1460 (interacts with) 2252"
"2","12.016829024352672","interacts with","1460 (interacts with) 2254","false","interacts with","1460 (interacts with) 2254"
"1","11.068188735622847","interacts with","1460 (interacts with) 2495","false","interacts with","1460 (interacts with) 2495"
"1","17.108335372839097","interacts with","1460 (interacts with) 2606","false","interacts with","1460 (interacts with) 2606"
"1","16.224374601314373","interacts with","1460 (interacts with) 2895","false","interacts with","1460 (interacts with) 2895"
"1","17.108224876875173","interacts with","1460 (interacts with) 3018","false","interacts with","1460 (interacts with) 3018"
"2","13.90846409327888","interacts with","1460 (interacts with) 3038","false","interacts with","1460 (interacts with) 3038"
"1","28.598186216994264","interacts with","1460 (interacts with) 3310","false","interacts with","1460 (interacts with) 3310"
"4","14.713273739479169","interacts with","1460 (interacts with) 3363","false","interacts with","1460 (interacts with) 3363"
"1","22.878758836449148","interacts with","1460 (interacts with) 3451","false","interacts with","1460 (interacts with) 3451"
"2","14.758751382396484","interacts with","1460 (interacts with) 3462","false","interacts with","1460 (interacts with) 3462"
"4","21.31803915636059","interacts with","1460 (interacts with) 3500","false","interacts with","1460 (interacts with) 3500"
"3","12.074398059929793","interacts with","1460 (interacts with) 3681","false","interacts with","1460 (interacts with) 3681"
"1","24.70914757170137","interacts with","1460 (interacts with) 3924","false","interacts with","1460 (interacts with) 3924"
"2","19.434400336021046","interacts with","1460 (interacts with) 3984","false","interacts with","1460 (interacts with) 3984"
"1","23.707250278555545","interacts with","1460 (interacts with) 4165","false","interacts with","1460 (interacts with) 4165"
"1","14.037418797848044","interacts with","1460 (interacts with) 4357","false","interacts with","1460 (interacts with) 4357"
"1","15.63813783994319","interacts with","1460 (interacts with) 4378","false","interacts with","1460 (interacts with) 4378"
"1","12.723066249726857","interacts with","1460 (interacts with) 4633","false","interacts with","1460 (interacts with) 4633"
"1","14.919836304989781","interacts with","1460 (interacts with) 4642","false","interacts with","1460 (interacts with) 4642"
"3","13.735569278076856","interacts with","1460 (interacts with) 4804","false","interacts with","1460 (interacts with) 4804"
"5","12.107112953090203","interacts with","1460 (interacts with) 4846","false","interacts with","1460 (interacts with) 4846"
"2","20.612930756251334","interacts with","1460 (interacts with) 4907","false","interacts with","1460 (interacts with) 4907"
"1","21.95234851770387","interacts with","1460 (interacts with) 4910","false","interacts with","1460 (interacts with) 4910"
"1","14.8874031949387","interacts with","1460 (interacts with) 5117","false","interacts with","1460 (interacts with) 5117"
"6","14.349407738906717","interacts with","1460 (interacts with) 5419","false","interacts with","1460 (interacts with) 5419"
"5","8.674020312531434","interacts with","1460 (interacts with) 5496","false","interacts with","1460 (interacts with) 5496"
"2","19.292517895151107","interacts with","1460 (interacts with) 5523","false","interacts with","1460 (interacts with) 5523"
"1","26.737538502068045","interacts with","1460 (interacts with) 5574","false","interacts with","1460 (interacts with) 5574"
"1","42.491639994885404","interacts with","1460 (interacts with) 5653","false","interacts with","1460 (interacts with) 5653"
"1","17.492166616582107","interacts with","1460 (interacts with) 5669","false","interacts with","1460 (interacts with) 5669"
"1","28.482697765917194","interacts with","1460 (interacts with) 5944","false","interacts with","1460 (interacts with) 5944"
"1","16.22269698271874","interacts with","1460 (interacts with) 6014","false","interacts with","1460 (interacts with) 6014"
"1","15.811558327995959","interacts with","1460 (interacts with) 6066","false","interacts with","1460 (interacts with) 6066"
"3","18.056381188948336","interacts with","1460 (interacts with) 6100","false","interacts with","1460 (interacts with) 6100"
"2","13.875696988567151","interacts with","1460 (interacts with) 6106","false","interacts with","1460 (interacts with) 6106"
"1","15.105659709668497","interacts with","1460 (interacts with) 6540","false","interacts with","1460 (interacts with) 6540"
"2","13.543203510539273","interacts with","1460 (interacts with) 6655","false","interacts with","1460 (interacts with) 6655"
"3","10.741000267671044","interacts with","1460 (interacts with) 6806","false","interacts with","1460 (interacts with) 6806"
"2","12.868428526694835","interacts with","1460 (interacts with) 6837","false","interacts with","1460 (interacts with) 6837"
"2","13.733030956862743","interacts with","1460 (interacts with) 6919","false","interacts with","1460 (interacts with) 6919"
"1","13.654126817132305","interacts with","1460 (interacts with) 6995","false","interacts with","1460 (interacts with) 6995"
"1","14.048233788258198","interacts with","1460 (interacts with) 7006","false","interacts with","1460 (interacts with) 7006"
"7","9.683364831100016","interacts with","1460 (interacts with) 7128","false","interacts with","1460 (interacts with) 7128"
