"clust","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"2","58.2576504159518","interacts with","85 (interacts with) 7980","false","interacts with","85 (interacts with) 7980"
"6","26.041656524777572","interacts with","85 (interacts with) 8069","false","interacts with","85 (interacts with) 8069"
"2","11.944229331946632","interacts with","85 (interacts with) 8432","false","interacts with","85 (interacts with) 8432"
"1","17.398076598319804","interacts with","85 (interacts with) 9233","false","interacts with","85 (interacts with) 9233"
"2","16.309800788287355","interacts with","85 (interacts with) 9290","false","interacts with","85 (interacts with) 9290"
"2","21.61229921592533","interacts with","85 (interacts with) 9778","false","interacts with","85 (interacts with) 9778"
"1","9.593736655700576","interacts with","85 (interacts with) 11011","false","interacts with","85 (interacts with) 11011"
"2","7.8481615094220665","interacts with","85 (interacts with) 11594","false","interacts with","85 (interacts with) 11594"
"1","6.394398418002429","interacts with","85 (interacts with) 11982","false","interacts with","85 (interacts with) 11982"
"1","15.92800451628557","interacts with","85 (interacts with) 12027","false","interacts with","85 (interacts with) 12027"
"1","20.08304255588055","interacts with","85 (interacts with) 13448","false","interacts with","85 (interacts with) 13448"
"1","11.184031093382131","interacts with","85 (interacts with) 13568","false","interacts with","85 (interacts with) 13568"
"1","9.906379146060463","interacts with","85 (interacts with) 13752","false","interacts with","85 (interacts with) 13752"
"1","11.539277963913511","interacts with","85 (interacts with) 13809","false","interacts with","85 (interacts with) 13809"
"1","12.417580548716971","interacts with","85 (interacts with) 14541","false","interacts with","85 (interacts with) 14541"
"3","8.770889211121407","interacts with","85 (interacts with) 14851","false","interacts with","85 (interacts with) 14851"
"1","22.861225303796594","interacts with","109 (interacts with) 440","false","interacts with","109 (interacts with) 440"
"1","8.00918339484814","interacts with","109 (interacts with) 711","false","interacts with","109 (interacts with) 711"
"2","59.3042427528702","interacts with","109 (interacts with) 871","false","interacts with","109 (interacts with) 871"
"1","13.760991100757472","interacts with","109 (interacts with) 873","false","interacts with","109 (interacts with) 873"
"2","29.8575123986751","interacts with","109 (interacts with) 939","false","interacts with","109 (interacts with) 939"
"1","9.960940341712496","interacts with","109 (interacts with) 1593","false","interacts with","109 (interacts with) 1593"
"3","16.53053271429753","interacts with","109 (interacts with) 2010","false","interacts with","109 (interacts with) 2010"
"2","7.958272988406187","interacts with","109 (interacts with) 2495","false","interacts with","109 (interacts with) 2495"
"1","9.67762181988427","interacts with","109 (interacts with) 2635","false","interacts with","109 (interacts with) 2635"
"1","7.813023272881354","interacts with","109 (interacts with) 3018","false","interacts with","109 (interacts with) 3018"
"1","8.381178753109733","interacts with","109 (interacts with) 3261","false","interacts with","109 (interacts with) 3261"
"3","43.63008933490871","interacts with","109 (interacts with) 3500","false","interacts with","109 (interacts with) 3500"
"1","21.93705591516436","interacts with","109 (interacts with) 3681","false","interacts with","109 (interacts with) 3681"
"1","7.8308051091717665","interacts with","109 (interacts with) 4350","false","interacts with","109 (interacts with) 4350"
"1","11.034122700793652","interacts with","109 (interacts with) 4357","false","interacts with","109 (interacts with) 4357"
"1","8.334181049428727","interacts with","109 (interacts with) 4411","false","interacts with","109 (interacts with) 4411"
"2","26.615993437475368","interacts with","109 (interacts with) 5419","false","interacts with","109 (interacts with) 5419"
"1","10.730983941371889","interacts with","109 (interacts with) 6806","false","interacts with","109 (interacts with) 6806"
"2","15.141540424026658","interacts with","109 (interacts with) 7128","false","interacts with","109 (interacts with) 7128"
"2","6.573412724536354","interacts with","109 (interacts with) 7198","false","interacts with","109 (interacts with) 7198"
"2","9.0975173469909","interacts with","109 (interacts with) 7233","false","interacts with","109 (interacts with) 7233"
"1","8.238379159540145","interacts with","109 (interacts with) 7929","false","interacts with","109 (interacts with) 7929"
"2","53.80989820852567","interacts with","109 (interacts with) 7980","false","interacts with","109 (interacts with) 7980"
